Date,Open
04/28/2022,"13,083.67"
04/27/2022,"13,106.89"
04/26/2022,"13,167.39"
04/25/2022,"13,169.67"
04/22/2022,"13,096.87"
04/21/2022,"13,063.73"
04/20/2022,"13,052.07"
04/19/2022,"13,038.44"
04/18/2022,"12,999.31"
04/15/2022,"12,971.89"
04/14/2022,"12,971.89"
04/13/2022,"12,972.98"
04/12/2022,"12,943.08"
04/11/2022,"12,946.49"
04/08/2022,"12,926.36"
04/07/2022,"12,893.80"
04/06/2022,"12,878.42"
04/05/2022,"12,824.29"
04/04/2022,"12,843.52"
04/01/2022,"12,818.11"
03/31/2022,"12,751.45"
03/30/2022,"12,721.38"
03/29/2022,"12,640.22"
03/28/2022,"12,602.92"
03/25/2022,"12,558.71"
03/24/2022,"12,577.91"
03/23/2022,"12,820.10"
03/22/2022,"12,867.90"
03/21/2022,"12,877.80"
03/18/2022,"12,935.51"
03/17/2022,"12,761.96"
03/16/2022,"12,704.72"
03/15/2022,"12,659.18"
03/14/2022,"12,623.94"
03/11/2022,"12,567.54"
03/10/2022,"12,866.13"
03/09/2022,"12,671.53"
03/08/2022,"12,415.46"
03/07/2022,"12,785.57"
03/04/2022,"12,864.57"
03/03/2022,"12,972.82"
03/02/2022,"13,059.66"
03/01/2022,"13,071.04"
02/28/2022,"13,175.30"
02/25/2022,"12,954.68"
02/24/2022,"13,509.67"
02/23/2022,"13,521.35"
02/22/2022,"13,649.81"
02/21/2022,"13,716.73"
02/18/2022,"13,766.60"
02/17/2022,"13,760.26"
02/16/2022,"13,771.96"
02/15/2022,"13,866.46"
02/14/2022,"13,950.06"
02/11/2022,"13,991.47"
02/10/2022,"13,950.56"
02/09/2022,"13,985.64"
02/08/2022,"13,951.27"
02/07/2022,"13,949.34"
02/04/2022,"13,913.39"
02/03/2022,"13,905.51"
02/02/2022,"13,863.11"
02/01/2022,"13,883.49"
01/31/2022,"13,793.21"
01/28/2022,"13,733.86"
01/27/2022,"13,722.28"
01/26/2022,"13,706.62"
01/25/2022,"13,753.50"
01/24/2022,"13,783.81"
01/21/2022,"13,777.59"
01/20/2022,"13,737.71"
01/19/2022,"13,768.05"
01/18/2022,"13,770.78"
01/17/2022,"13,784.31"
01/14/2022,"13,588.24"
01/13/2022,"13,531.26"
01/12/2022,"13,486.31"
01/10/2022,"13,477.25"
01/07/2022,"13,368.77"
01/06/2022,"13,290.62"
01/05/2022,"13,278.48"
01/04/2022,"13,296.29"
01/03/2022,"13,358.32"
12/31/2021,"13,404.63"
12/30/2021,"13,389.20"
12/29/2021,"13,281.80"
12/28/2021,"13,236.39"
12/27/2021,"13,242.43"
12/24/2021,"13,249.96"
12/23/2021,"13,210.50"
12/22/2021,"13,242.96"
12/21/2021,"13,253.96"
12/20/2021,"13,303.36"
12/17/2021,"13,269.54"
12/16/2021,"13,271.03"
12/15/2021,"13,281.86"
12/14/2021,"13,283.98"
12/13/2021,"13,339.81"
12/10/2021,"13,277.70"
12/09/2021,"13,231.35"
12/08/2021,"13,228.37"
12/07/2021,"13,178.51"
12/06/2021,"13,226.00"
12/03/2021,"13,231.41"
12/02/2021,"13,170.19"
12/01/2021,"13,085.38"
11/30/2021,"13,099.49"
11/29/2021,"13,221.08"
11/26/2021,"13,324.53"
11/25/2021,"13,340.81"
11/24/2021,"13,306.79"
11/23/2021,"13,351.53"
11/22/2021,"13,340.45"
11/19/2021,"13,289.48"
11/17/2021,"13,261.47"
11/16/2021,"13,296.37"
11/15/2021,"13,295.73"
11/12/2021,"13,332.46"
11/11/2021,"13,344.29"
11/10/2021,"13,380.34"
11/09/2021,"13,428.26"
11/08/2021,"13,413.80"
11/05/2021,"13,506.99"
11/04/2021,"13,569.33"
11/03/2021,"13,562.64"
11/02/2021,"13,507.55"
11/01/2021,"13,555.45"
10/29/2021,"13,579.00"
10/28/2021,"13,538.42"
10/27/2021,"13,551.17"
10/26/2021,"13,333.84"
10/25/2021,"13,300.72"
10/22/2021,"13,295.54"
10/21/2021,"13,290.63"
10/18/2021,"13,300.93"
10/15/2021,"13,283.15"
10/14/2021,"13,187.73"
10/13/2021,"13,160.56"
10/12/2021,"13,145.58"
10/11/2021,"13,192.55"
10/08/2021,"13,097.39"
10/07/2021,"13,077.78"
10/06/2021,"13,058.71"
10/05/2021,"13,081.74"
10/04/2021,"13,105.71"
10/01/2021,"13,186.83"
09/30/2021,"13,197.28"
09/29/2021,"13,169.39"
09/28/2021,"13,122.02"
09/27/2021,"13,131.88"
09/24/2021,"13,078.03"
09/23/2021,"12,973.40"
09/22/2021,"12,940.46"
09/21/2021,"12,949.56"
09/20/2021,"13,019.20"
09/17/2021,"12,902.04"
09/16/2021,"12,895.29"
09/15/2021,"12,901.27"
09/14/2021,"12,887.71"
09/13/2021,"12,884.05"
09/10/2021,"12,971.07"
09/09/2021,"12,739.93"
09/08/2021,"12,714.69"
09/07/2021,"12,691.37"
09/06/2021,"12,714.52"
09/03/2021,"12,714.26"
09/02/2021,"12,705.58"
09/01/2021,"12,694.16"
08/31/2021,"12,775.54"
08/30/2021,"12,777.08"
08/27/2021,"12,684.96"
08/26/2021,"12,655.14"
08/25/2021,"12,706.41"
08/24/2021,"12,713.40"
08/23/2021,"12,607.27"
08/19/2021,"12,617.07"
08/18/2021,"12,624.52"
08/17/2021,"12,597.62"
08/16/2021,"12,622.05"
08/13/2021,"12,526.04"
08/12/2021,"12,566.88"
08/11/2021,"12,497.30"
08/09/2021,"12,498.05"
08/06/2021,"12,467.81"
08/05/2021,"12,425.97"
08/04/2021,"12,440.33"
08/03/2021,"12,433.94"
08/02/2021,"12,304.15"
07/29/2021,"12,236.92"
07/28/2021,"12,207.51"
07/27/2021,"12,183.41"
07/26/2021,"12,201.71"
07/23/2021,"12,147.28"
07/20/2021,"12,155.36"
07/19/2021,"12,166.09"
07/16/2021,"12,140.14"
07/15/2021,"12,143.02"
07/14/2021,"12,209.84"
07/13/2021,"12,229.80"
07/12/2021,"12,230.30"
07/09/2021,"12,266.06"
07/08/2021,"12,242.47"
07/07/2021,"12,152.22"
07/06/2021,"12,248.73"
07/05/2021,"12,373.57"
07/02/2021,"12,418.77"
07/01/2021,"12,408.76"
06/30/2021,"12,412.04"
06/29/2021,"12,468.57"
06/28/2021,"12,417.60"
06/25/2021,"12,476.51"
06/24/2021,"12,512.27"
06/23/2021,"12,514.12"
06/22/2021,"12,544.46"
06/21/2021,"12,479.58"
06/18/2021,"12,440.38"
06/17/2021,"12,449.86"
06/16/2021,"12,501.19"
06/15/2021,"12,565.73"
